,,,,,,,,
,,"Elección - Presidencia y Sindicatura
Proceso Electoral Local Extraordinario 2021 en el municipio de La Yesca, Nayarit
Cómputos Municipales por Casilla",,,,,,
,,,,,,,,
,,La Yesca,,,,,,
,,,,,,,,
Sección,Casilla,MC,VIVA,MLN,PAN-PRI-PRD,PT-PVEM-MORENA-NAN,Candidaturas no registradas,Votos nulos
866,Básica,58,110,9,28,136,0,19
867,Básica,60,63,120,81,141,0,15
867,Contigua 1,85,35,108,84,122,0,9
868,Básica,38,19,2,47,171,0,11
869,Básica,78,32,3,15,166,0,9
869,Contigua 1,84,35,4,21,147,0,15
869,Contigua 2,105,31,0,16,175,0,8
870,Básica,31,63,15,38,159,0,6
870,Contigua 1,32,76,3,36,138,0,13
872,Básica,50,4,0,17,63,0,8
873,Básica,15,172,3,6,12,0,3
873,Extraordinaria 1,24,33,0,7,15,0,3
873,Extraordinaria 2,5,35,1,13,40,0,0
874,Básica,57,54,4,23,65,0,10
874,Extraordinaria 1,19,46,3,16,35,0,4
875,Básica,14,33,4,79,53,0,4
876,Básica,13,76,3,53,84,0,5
878,Básica,126,17,1,6,90,0,8
878,Contigua 1,146,21,1,4,68,0,9
878,Extraordinaria 1,26,6,0,9,22,0,0
,Total,1066,961,284,599,1902,0,159
