munn,mun,pan,pri,prd,pvem,pt,mc,pna,pas,mrn,pes,pais,pan-prd-mc-pas,pt-morena-pes,pri-pvem-pna,,,nr,nul,tot
1,Ahome,26213,53906,2589,2223,6301,2252,3024,6256,77305,2669,1581,971,3237,1156,1475,cizm,195,4481,196811
2,Angostura,2490,9349,1048,436,235,864,401,4501,3966,226,100,553,139,123,337,cmr,12,938,25907
3,Badiraguato,1401,6328,2744,229,186,230,158,1215,392,31,65,300,19,104,,,2,661,14259
4,Concordia,2520,5630,162,118,150,191,261,1105,1686,43,91,148,71,71,,,1,677,13002
5,Cosalá,561,3452,45,65,25,243,169,2412,102,9,83,255,1,54,,,11,526,8148
6,Culiacán,27245,118074,4633,6963,12500,6120,7355,24243,147417,4721,7057,1670,6458,2108,,,183,10611,389350
7,Choix,2631,3586,188,198,238,99,1566,194,6129,100,62,89,136,111,,,1,540,15973
8,Elota,1792,7184,500,152,330,330,184,3341,3242,208,191,240,133,34,875,jms,93,672,19594
9,Escuinapa,1602,8055,542,337,220,354,740,282,11705,168,126,62,0,0,,,0,776,24969
10,El Fuerte,4141,14990,663,395,833,1329,821,4711,13782,477,266,384,632,203,403,izl,30,1589,45933
11,Guasave,6529,45185,2032,1362,5276,1565,2137,5794,50314,1761,1403,384,2457,935,,,60,3808,131936
12,Mazatlán,25539,61521,1605,3524,6202,2535,2726,5292,70508,1918,2443,1243,3061,1092,,,108,4951,195683
13,Mocorito,1520,7769,857,261,400,314,292,6079,3893,153,149,334,152,145,,,31,909,23419
14,Rosario,10702,6107,1085,126,0,176,246,585,2694,305,302,455,0,77,,,0,1046,24002
15,Salvador Alvarado,7349,13361,1214,550,587,882,882,2313,8156,1006,199,439,405,253,,,7,1116,38996
16,San Ignacio,348,283,65,5246,75,109,402,1101,830,48,50,129,76,0,,,35,837,9634
17,Sinaloa,2039,15150,1246,404,2385,1112,842,1925,9319,422,218,166,446,101,,,7,1721,37725
18,Navolato,5742,14917,1632,922,3195,1290,648,6537,21004,794,1054,533,1457,264,,,30,1820,62231
