munn,mun,v,l,C_PRD_PSD,,Pan-mc,,PAN,,PRI,,PRD,,PVEM,,PT,,MC,,PNA,,PSD,,MRN,,PES,,PHM,,v,l,v,l,v,l,nr,nul,lisnom,REPRESENTANTES_PP_CI
1,Amacuzac,199,Pt-morena-pes,1,Prd-psd,7,Pan-mc,373,PAN,767,PRI,92,PRD,993,PVEM,2727,PT,81,MC,33,PNA,39,PSD,665,MRN,81,PES,51,PHM,0,0,0,0,0,0,1,297,13369,7
2,Atlatlahucan,122,Pt-morena-pes,37,Prd-psd,52,Pan-mc,959,PAN,296,PRI,340,PRD,327,PVEM,1376,PT,1074,MC,222,PNA,66,PSD,958,MRN,141,PES,2315,PHM,231,ind_lgdlr,1495,ind_aft,851,ind_jvjr,20,267,16998,7
3,Axochiapan,209,Pt-morena-pes,197,Prd-psd,0,Pan-mc,2143,PAN,2117,PRI,1611,PRD,143,PVEM,924,PT,2031,MC,838,PNA,420,PSD,1094,MRN,277,PES,1914,PHM,1793,ind_jdgg,0,0,0,0,65,420,25912,7
4,Ayala,773,Pt-morena-pes,346,Prd-psd,190,Pan-mc,1286,PAN,6055,PRI,2178,PRD,332,PVEM,1192,PT,1089,MC,7752,PNA,587,PSD,5496,MRN,602,PES,438,PHM,4906,ind_pamm,0,0,0,0,40,1271,61774,7
5,Coatlán del Río,1,Pt-morena-pes,,,2,Pan-mc,42,PAN,679,PRI,19,PRD,1726,PVEM,16,PT,10,MC,5,PNA,1212,PSD,47,MRN,5,PES,9,PHM,2121,ind_cne,0,0,0,0,1,265,8246,7
6,Cuautla,1649,Pt-morena-pes,413,Prd-psd,707,Pan-mc,8152,PAN,5009,PRI,6683,PRD,2900,PVEM,2267,PT,9564,MC,1338,PNA,1991,PSD,17681,MRN,1739,PES,1372,PHM,9310,ind_cbs,0,0,0,0,175,2604,140362,7
7,Cuernavaca,2966,Pt-morena-pes,1130,Prd-pvem-psd,776,Pan-mc,33033,PAN,6613,PRI,7478,PRD,5173,PVEM,4050,PT,3026,MC,3676,PNA,5386,PSD,34545,MRN,4790,PES,1630,PHM,18919,ind_jlus,3738,ind_ahg,8631,ind_lafg,561,5637,243213,0
8,Emiliano Zapata,357,Pt-morena-pes,187,Prd-psd,54,Pan-mc,863,PAN,714,PRI,2849,PRD,13507,PVEM,522,PT,320,MC,184,PNA,344,PSD,2457,MRN,917,PES,180,PHM,5206,ind_jstg,0,0,0,0,7,902,62469,7
9,Huitzilac,251,Pt-morena-pes,11,Prd-psd,26,Pan-mc,175,PAN,1860,PRI,124,PRD,1141,PVEM,267,PT,161,MC,509,PNA,33,PSD,1642,MRN,190,PES,1302,PHM,376,ind_ajz,0,0,0,0,6,226,14751,7
10,Jantetelco,4,Pt-morena-pes,12,Prd-psd,0,Pan-mc,14,PAN,2030,PRI,115,PRD,85,PVEM,25,PT,13,MC,838,PNA,22,PSD,112,MRN,9,PES,2248,PHM,1838,ind_drh,1120,ind_rae,0,0,0,184,12685,7
