,,,,,,,,,,,,,
,,"Elección - Regidurías por el principio de mayoría relativa
Proceso Electoral Local Extraordinario 2021 en el municipio de La Yesca, Nayarit
Cómputos Municipales por Casilla",,,,,,,,,,,
,,,,,,,,,,,,,
,,La Yesca,,,,,,,,,,,
,,,,,,,,,,,,,
Demarcación,Casillas Instaladas,MC,VIVA,MLN,PAN-PRI-PRD,PT-PVEM-MORENA-NAN,Candidaturas no registradas,Votos nulos,,,,,
1,8,397,551,6,119,303,0,62,,,,,
2,3,160,263,39,50,400,0,33,,,,,
3,3,107,110,10,115,250,0,32,,,,,
4,4,70,221,37,199,466,0,38,,,,,
5,2,202,65,180,164,284,0,28,,,,,
Total,20,936,"1,210",272,647,"1,703",0,193,,,,,
,,,,,,,,,,,,,
Votación por Partido Político,,,,,,,,,,,,,
,,,,,,,,,,,,,
Demarcación,Casillas Instaladas,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAN,VIVA,MLN,Candidaturas no registradas,Votos nulos
1,8,22,81,16,14,19,397,248,22,551,6,0,62
2,3,7,41,2,35,29,160,320,16,263,39,0,33
3,3,24,85,6,16,37,107,188,9,110,10,0,32
4,4,108,81,10,19,26,70,411,10,221,37,0,38
5,2,110,45,9,27,54,202,190,13,65,180,0,28
Total,20,271,333,43,111,165,936,"1,357",70,"1,210",272,0,193
,,,,,,,,,,,,,
Resultados por Casilla,,,,,,,,,,,,,
,,,,,,,,,,,,,
Demarcación:,1,,,,,,,,,,,,
,,,,,,,,,,,,,
Sección,Casilla,MC,VIVA,MLN,PAN-PRI-PRD,PT-PVEM-MORENA-NAN,Candidaturas no registradas,Votos nulos,,,,,
0866,Básica,18,167,4,37,108,0,16,,,,,
0872,Básica,62,16,0,16,38,0,10,,,,,
0873,Básica,22,148,1,11,19,0,10,,,,,
0873,Extraordinaria 1,22,12,0,21,23,0,4,,,,,
0873,Extraordinaria 2,14,38,0,17,24,0,0,,,,,
0878,Básica,89,126,0,7,16,0,10,,,,,
0878,Contigua 1,146,22,1,3,65,0,12,,,,,
0878,Extraordinaria 1,24,22,0,7,10,0,0,,,,,
,Total,397,551,6,119,303,0,62,,,,,
,,,,,,,,,,,,,
Demarcación:,2,,,,,,,,,,,,
,,,,,,,,,,,,,
Sección,Casilla,MC,VIVA,MLN,PAN-PRI-PRD,PT-PVEM-MORENA-NAN,Candidaturas no registradas,Votos nulos,,,,,
0869,Básica,40,102,5,15,129,0,12,,,,,
0869,Contigua 1,54,77,21,23,113,0,18,,,,,
0869,Contigua 2,66,84,13,12,158,0,3,,,,,
,Total,160,263,39,50,400,0,33,,,,,
,,,,,,,,,,,,,
Demarcación:,3,,,,,,,,,,,,
,,,,,,,,,,,,,
Sección,Casilla,MC,VIVA,MLN,PAN-PRI-PRD,PT-PVEM-MORENA-NAN,Candidaturas no registradas,Votos nulos,,,,,
0868,Básica,38,36,1,37,159,0,17,,,,,
0874,Básica,42,40,4,55,62,0,10,,,,,
0874,Extraordinaria 1,27,34,5,23,29,0,5,,,,,
,Total,107,110,10,115,250,0,32,,,,,
,,,,,,,,,,,,,
Demarcación:,4,,,,,,,,,,,,
,,,,,,,,,,,,,
Sección,Casilla,MC,VIVA,MLN,PAN-PRI-PRD,PT-PVEM-MORENA-NAN,Candidaturas no registradas,Votos nulos,,,,,
0870,Básica,19,55,22,41,169,0,6,,,,,
0870,Contigua 1,16,65,9,36,160,0,12,,,,,
0875,Básica,23,31,4,73,47,0,9,,,,,
0876,Básica,12,70,2,49,90,0,11,,,,,
,Total,70,221,37,199,466,0,38,,,,,
,,,,,,,,,,,,,
Demarcación:,5,,,,,,,,,,,,
,,,,,,,,,,,,,
Sección,Casilla,MC,VIVA,MLN,PAN-PRI-PRD,PT-PVEM-MORENA-NAN,Candidaturas no registradas,Votos nulos,,,,,
0867,Básica,86,40,107,72,157,0,18,,,,,
0867,Contigua 1,116,25,73,92,127,0,10,,,,,
,Total,202,65,180,164,284,0,28,,,,,
